"","Health","GERD"
"num.edges(L)","1785","1549"
"num.pos.edges","1766","1545"
"num.neg.edges","19","4"
"num.vertices(n)","414","395"
"Connectance(edge_density)","0.020879390813068","0.0199061877530039"
"average.degree(Average K)","8.6231884057971","7.84303797468354"
"average.path.length","1.58761178045079","2.35024360148107"
"diameter","7.64819142366705","11.7370605950589"
"edge.connectivity","0","0"
"mean.clustering.coefficient(Average.CC)","0.891927962910106","0.877016086076489"
"no.clusters","67","71"
"centralization.degree","0.0275467593079973","0.0410075178307524"
"centralization.betweenness","0.00316023347781643","0.00484104084615613"
"centralization.closeness","0.303118783776578","0.31266341991586"
"RM(relative.modularity)","2.53838851977202","2.23805704397682"
"the.number.of.keystone.nodes","Not.calculated","Not.calculated"
