"OTU","Abundance","Run","Group"
"g__Streptococcus",0.411771644255721,"SRR10802223","Health"
"g__Streptococcus",0.378096315855652,"SRR10802241","GERD"
"g__Prevotella",0.351991088833194,"SRR10802234","GERD"
"g__Streptococcus",0.330028199763486,"SRR10802227","GERD"
"g__Streptococcus",0.328146416189632,"SRR10802240","GERD"
"g__Prevotella",0.325,"SRR10802220","Health"
"g__Streptococcus",0.306106573317775,"SRR10802225","Health"
"g__Streptococcus",0.29671488848704,"SRR10802245","Health"
"g__Streptococcus",0.276014352746343,"SRR10802243","Health"
"g__Streptococcus",0.27364238410596,"SRR10802228","GERD"
"g__Prevotella",0.271569802276812,"SRR10802238","GERD"
"g__Prevotella",0.267019400352734,"SRR10802244","Health"
"g__Streptococcus",0.253679962013295,"SRR10802229","GERD"
"g__Streptococcus",0.247725321888412,"SRR10802224","Health"
"g__Prevotella",0.2420465337132,"SRR10802229","GERD"
"g__Streptococcus",0.234022155943758,"SRR10802226","Health"
"g__Prevotella",0.228735632183908,"SRR10802222","Health"
"g__Prevotella",0.228700820832154,"SRR10802242","Health"
"g__Streptococcus",0.228060046189376,"SRR10802221","Health"
"g__Prevotella",0.22537410540013,"SRR10802230","GERD"
"g__Streptococcus",0.216271267673137,"SRR10802236","GERD"
"g__Prevotella",0.207830934785427,"SRR10802225","Health"
"g__Prevotella",0.197424892703863,"SRR10802224","Health"
"g__Prevotella",0.19488597097443,"SRR10802239","GERD"
"g__Prevotella",0.190033783783784,"SRR10802232","GERD"
"g__Streptococcus",0.180092236740968,"SRR10802233","Health"
"g__Neisseria",0.174215192906782,"SRR10802236","GERD"
"g__Streptococcus",0.168129068780074,"SRR10802242","Health"
"g__Streptococcus",0.163448952879581,"SRR10802237","GERD"
"g__Streptococcus",0.159668721109399,"SRR10802235","GERD"
"g__Prevotella",0.159032807839795,"SRR10802226","Health"
"g__Prevotella",0.155816640986133,"SRR10802235","GERD"
"g__Prevotella",0.154568037537952,"SRR10802243","Health"
"g__Prevotella",0.15161662817552,"SRR10802221","Health"
"g__Streptococcus",0.146305418719212,"SRR10802222","Health"
"g__Prevotella",0.146254938321374,"SRR10802240","GERD"
"g__Prevotella",0.140397350993377,"SRR10802228","GERD"
"g__Streptococcus",0.135590877677954,"SRR10802239","GERD"
