"OTU","Abundance","Sample","Group"
"c__Bacilli",0.497287096013211,"SRR10802223","Health"
"c__Bacilli",0.434301521438451,"SRR10802241","GERD"
"c__Bacteroidia",0.413673071567808,"SRR10802234","GERD"
"c__Bacilli",0.399177618318149,"SRR10802240","GERD"
"c__Bacilli",0.38306194851269,"SRR10802227","GERD"
"c__Bacteroidia",0.374955908289242,"SRR10802244","Health"
"c__Bacteroidia",0.366315789473684,"SRR10802220","Health"
"c__Bacilli",0.356841470765521,"SRR10802245","Health"
"c__Bacilli",0.34746531829379,"SRR10802225","Health"
"c__Bacilli",0.336047474468672,"SRR10802243","Health"
"c__Bacteroidia",0.334811165845649,"SRR10802222","Health"
"c__Bacilli",0.328211920529801,"SRR10802228","GERD"
"c__Bacilli",0.307467811158798,"SRR10802224","Health"
"c__Bacilli",0.304724596391263,"SRR10802229","GERD"
"c__Bacteroidia",0.304489264801561,"SRR10802230","GERD"
"c__Bacteroidia",0.302113010446344,"SRR10802229","GERD"
"c__Bacteroidia",0.294688221709007,"SRR10802221","Health"
"c__Bacteroidia",0.29388855602157,"SRR10802238","GERD"
"c__Bacilli",0.293459735832978,"SRR10802226","Health"
"c__Bacteroidia",0.291080386638933,"SRR10802231","GERD"
"c__Bacilli",0.280369515011547,"SRR10802221","Health"
"c__Bacteroidia",0.276736259054112,"SRR10802226","Health"
"c__Bacteroidia",0.276572218382861,"SRR10802239","GERD"
"c__Bacteroidia",0.273953066251783,"SRR10802225","Health"
"c__Bacteroidia",0.267043886282087,"SRR10802243","Health"
"c__Bacilli",0.262640786005272,"SRR10802236","GERD"
"c__Bacteroidia",0.262524766487404,"SRR10802242","Health"
"c__Bacilli",0.251575710991545,"SRR10802233","Health"
"c__Bacteroidia",0.24953642384106,"SRR10802228","GERD"
"c__Bacteroidia",0.244635193133047,"SRR10802224","Health"
"c__Bacteroidia",0.241312585664759,"SRR10802240","GERD"
"c__Bacteroidia",0.226276178010471,"SRR10802237","GERD"
"c__Bacilli",0.224383667180277,"SRR10802235","GERD"
"c__Bacilli",0.221531413612565,"SRR10802237","GERD"
"c__Bacilli",0.219077271440702,"SRR10802242","Health"
"c__Bacteroidia",0.215641952983725,"SRR10802245","Health"
"c__Bacteroidia",0.213020030816641,"SRR10802235","GERD"
"c__Gammaproteobacteria",0.210999281092739,"SRR10802236","GERD"
"c__Bacteroidia",0.210861457291003,"SRR10802227","GERD"
"c__Bacteroidia",0.202069256756757,"SRR10802232","GERD"
"c__Bacilli",0.193103448275862,"SRR10802222","Health"
"c__Bacteroidia",0.19238023387401,"SRR10802241","GERD"
"c__Negativicutes",0.191089527027027,"SRR10802232","GERD"
"c__Bacteroidia",0.189546502690238,"SRR10802233","Health"
"c__Bacilli",0.184934346924672,"SRR10802239","GERD"
"c__Bacteroidia",0.169615475347959,"SRR10802223","Health"
"c__Bacilli",0.161324146195327,"SRR10802238","GERD"
"c__Negativicutes",0.153312788906009,"SRR10802235","GERD"
"c__Clostridia",0.143682588597843,"SRR10802235","GERD"
"c__Clostridia",0.142355237475602,"SRR10802230","GERD"
"c__Negativicutes",0.141551827441582,"SRR10802238","GERD"
"c__Actinobacteria",0.140625,"SRR10802232","GERD"
"c__Clostridia",0.139210526315789,"SRR10802220","Health"
"c__Bacteroidia",0.138629283489097,"SRR10802236","GERD"
"c__Bacilli",0.136173767752715,"SRR10802234","GERD"
"c__Gammaproteobacteria",0.135172560715807,"SRR10802226","Health"
"c__Negativicutes",0.134868421052632,"SRR10802220","Health"
"c__Actinobacteria",0.132115038945476,"SRR10802238","GERD"
