"OTU","Abundance","Sample","Group"
"f__Streptococcaceae",0.411771644255721,"SRR10802223","Health"
"f__Streptococcaceae",0.378096315855652,"SRR10802241","GERD"
"f__Prevotellaceae",0.363965469228627,"SRR10802234","GERD"
"f__Streptococcaceae",0.330028199763486,"SRR10802227","GERD"
"f__Prevotellaceae",0.329473684210526,"SRR10802220","Health"
"f__Streptococcaceae",0.328146416189632,"SRR10802240","GERD"
"f__Streptococcaceae",0.306106573317775,"SRR10802225","Health"
"f__Streptococcaceae",0.29671488848704,"SRR10802245","Health"
"f__Prevotellaceae",0.293239271017049,"SRR10802244","Health"
"f__Prevotellaceae",0.281755542240863,"SRR10802238","GERD"
"f__Prevotellaceae",0.279146141215107,"SRR10802222","Health"
"f__Streptococcaceae",0.276014352746343,"SRR10802243","Health"
"f__Streptococcaceae",0.27364238410596,"SRR10802228","GERD"
"f__Prevotellaceae",0.2579534662868,"SRR10802229","GERD"
"f__Streptococcaceae",0.253679962013295,"SRR10802229","GERD"
"f__Streptococcaceae",0.247725321888412,"SRR10802224","Health"
"f__Prevotellaceae",0.239427456083279,"SRR10802230","GERD"
"f__Prevotellaceae",0.238182847438438,"SRR10802242","Health"
"f__Streptococcaceae",0.234022155943758,"SRR10802226","Health"
"f__Streptococcaceae",0.228060046189376,"SRR10802221","Health"
"f__Prevotellaceae",0.222805805114029,"SRR10802239","GERD"
"f__Prevotellaceae",0.220407104887852,"SRR10802225","Health"
"f__Prevotellaceae",0.218369098712446,"SRR10802224","Health"
"f__Streptococcaceae",0.216271267673137,"SRR10802236","GERD"
"f__Prevotellaceae",0.196527481891777,"SRR10802226","Health"
"f__Prevotellaceae",0.190033783783784,"SRR10802232","GERD"
"f__Prevotellaceae",0.187066974595843,"SRR10802221","Health"
"f__Neisseriaceae",0.183560987299305,"SRR10802236","GERD"
"f__Streptococcaceae",0.180092236740968,"SRR10802233","Health"
"f__Prevotellaceae",0.179735099337748,"SRR10802228","GERD"
"f__Prevotellaceae",0.178581286226884,"SRR10802243","Health"
"f__Prevotellaceae",0.173429319371728,"SRR10802237","GERD"
"f__Prevotellaceae",0.170362009191325,"SRR10802240","GERD"
"f__Streptococcaceae",0.168129068780074,"SRR10802242","Health"
"f__Prevotellaceae",0.167758089368259,"SRR10802235","GERD"
"f__Streptococcaceae",0.163448952879581,"SRR10802237","GERD"
"f__Streptococcaceae",0.159668721109399,"SRR10802235","GERD"
"f__Prevotellaceae",0.147076552139843,"SRR10802245","Health"
"f__Streptococcaceae",0.146305418719212,"SRR10802222","Health"
"f__Prevotellaceae",0.141330315604175,"SRR10802241","GERD"
"f__Streptococcaceae",0.135590877677954,"SRR10802239","GERD"
"f__Prevotellaceae",0.135540798690076,"SRR10802227","GERD"
"f__Prevotellaceae",0.131653003792977,"SRR10802231","GERD"
"f__Porphyromonadaceae",0.12174232228068,"SRR10802231","GERD"
"f__Streptococcaceae",0.118783702816058,"SRR10802238","GERD"
"f__Veillonellaceae",0.11402027027027,"SRR10802232","GERD"
"f__Lachnospiraceae",0.103057905009759,"SRR10802230","GERD"
"f__Actinomycetaceae",0.101140202702703,"SRR10802232","GERD"
"f__Veillonellaceae",0.101108448172558,"SRR10802238","GERD"
