"OTU","Abundance","Sample","Group"
"o__Lactobacillales",0.447393253125737,"SRR10802223","Health"
"o__Bacteroidales",0.413673071567808,"SRR10802234","GERD"
"o__Lactobacillales",0.406387526719477,"SRR10802241","GERD"
"o__Lactobacillales",0.368862372006773,"SRR10802240","GERD"
"o__Lactobacillales",0.364413717820431,"SRR10802227","GERD"
"o__Bacteroidales",0.357236842105263,"SRR10802220","Health"
"o__Bacteroidales",0.349794238683128,"SRR10802244","Health"
"o__Lactobacillales",0.333936106088005,"SRR10802245","Health"
"o__Lactobacillales",0.323090885517957,"SRR10802225","Health"
"o__Lactobacillales",0.32072867789125,"SRR10802243","Health"
"o__Bacteroidales",0.319376026272578,"SRR10802222","Health"
"o__Lactobacillales",0.298278145695364,"SRR10802228","GERD"
"o__Bacteroidales",0.29388855602157,"SRR10802238","GERD"
"o__Bacteroidales",0.278490028490028,"SRR10802229","GERD"
"o__Lactobacillales",0.274163090128755,"SRR10802224","Health"
"o__Lactobacillales",0.274097815764482,"SRR10802229","GERD"
"o__Bacteroidales",0.271698113207547,"SRR10802230","GERD"
"o__Bacteroidales",0.268811941759452,"SRR10802231","GERD"
"o__Lactobacillales",0.268534299105241,"SRR10802226","Health"
"o__Bacteroidales",0.267782909930716,"SRR10802221","Health"
"o__Bacteroidales",0.263579820317899,"SRR10802239","GERD"
"o__Bacteroidales",0.260118879139541,"SRR10802242","Health"
"o__Bacteroidales",0.25969322539412,"SRR10802226","Health"
"o__Bacteroidales",0.25904317386231,"SRR10802225","Health"
"o__Lactobacillales",0.252193995381062,"SRR10802221","Health"
"o__Bacteroidales",0.243030637593155,"SRR10802243","Health"
"o__Lactobacillales",0.2398753894081,"SRR10802236","GERD"
"o__Bacteroidales",0.238111587982833,"SRR10802224","Health"
"o__Bacteroidales",0.236556291390728,"SRR10802228","GERD"
"o__Bacteroidales",0.219221156171894,"SRR10802240","GERD"
"o__Lactobacillales",0.216602613374327,"SRR10802233","Health"
"o__Bacteroidales",0.207787958115183,"SRR10802237","GERD"
"o__Bacteroidales",0.203197226502311,"SRR10802235","GERD"
"o__Bacteroidales",0.202983725135624,"SRR10802245","Health"
"o__Bacteroidales",0.202069256756757,"SRR10802232","GERD"
"o__Lactobacillales",0.199922958397535,"SRR10802235","GERD"
"o__Burkholderiales",0.192068056554038,"SRR10802236","GERD"
"o__Veillonellales-Selenomonadales",0.191089527027027,"SRR10802232","GERD"
"o__Lactobacillales",0.184718586387435,"SRR10802237","GERD"
"o__Lactobacillales",0.183696575148599,"SRR10802242","Health"
"o__Bacteroidales",0.18118948824343,"SRR10802241","GERD"
"o__Bacteroidales",0.178113344855817,"SRR10802227","GERD"
"o__Lactobacillales",0.163546798029557,"SRR10802222","Health"
"o__Veillonellales-Selenomonadales",0.153312788906009,"SRR10802235","GERD"
"o__Bacteroidales",0.149269792467333,"SRR10802233","Health"
"o__Lactobacillales",0.147201105736006,"SRR10802239","GERD"
"o__Veillonellales-Selenomonadales",0.141551827441582,"SRR10802238","GERD"
"o__Lactobacillales",0.140653085680048,"SRR10802238","GERD"
"o__Veillonellales-Selenomonadales",0.134868421052632,"SRR10802220","Health"
"o__Bacteroidales",0.127270582684595,"SRR10802223","Health"
"o__Fusobacteriales",0.12434554973822,"SRR10802237","GERD"
"o__Bacteroidales",0.121974598610113,"SRR10802236","GERD"
"o__Fusobacteriales",0.11888341543514,"SRR10802222","Health"
"o__Veillonellales-Selenomonadales",0.117631750162655,"SRR10802230","GERD"
"o__Fusobacteriales",0.117111255692908,"SRR10802230","GERD"
"o__Fusobacteriales",0.116848158570904,"SRR10802231","GERD"
"o__Veillonellales-Selenomonadales",0.112807881773399,"SRR10802222","Health"
"o__Fusobacteriales",0.112286890064668,"SRR10802244","Health"
"o__Veillonellales-Selenomonadales",0.109114067364846,"SRR10802242","Health"
"o__Lactobacillales",0.107685810810811,"SRR10802232","GERD"
"o__Veillonellales-Selenomonadales",0.103800967519005,"SRR10802239","GERD"
"o__Lachnospirales",0.103057905009759,"SRR10802230","GERD"
"o__Fusobacteriales",0.102604019247099,"SRR10802242","Health"
"o__Actinomycetales",0.101140202702703,"SRR10802232","GERD"
"o__Lactobacillales",0.10108604845447,"SRR10802234","GERD"
"o__Lachnospirales",0.0989984591679507,"SRR10802235","GERD"
"o__Fusobacteriales",0.0983991167540712,"SRR10802243","Health"
"o__Veillonellales-Selenomonadales",0.0967192160204516,"SRR10802226","Health"
"o__Lactobacillales",0.095803254618867,"SRR10802231","GERD"
"o__Veillonellales-Selenomonadales",0.0942634363686995,"SRR10802234","GERD"
"o__Fusobacteriales",0.0941508232511598,"SRR10802227","GERD"
"o__Lactobacillales",0.0935526315789474,"SRR10802220","Health"
"o__Fusobacteriales",0.0922573189522342,"SRR10802235","GERD"
"o__Veillonellales-Selenomonadales",0.0900526122598801,"SRR10802231","GERD"
"o__Lachnospirales",0.0867820945945946,"SRR10802232","GERD"
"o__Fusobacteriales",0.0867105263157895,"SRR10802220","Health"
"o__Veillonellales-Selenomonadales",0.0860292355619458,"SRR10802236","GERD"
"o__Veillonellales-Selenomonadales",0.0854791299235744,"SRR10802244","Health"
"o__Saccharimonadales",0.0846706081081081,"SRR10802232","GERD"
"o__Lactobacillales",0.0846560846560847,"SRR10802244","Health"
"o__Fusobacteriales",0.0829139072847682,"SRR10802228","GERD"
"o__Actinomycetales",0.0793754066363045,"SRR10802230","GERD"
"o__Fusobacteriales",0.0785472972972973,"SRR10802232","GERD"
"o__Lachnospirales",0.0785420340975897,"SRR10802244","Health"
"o__Fusobacteriales",0.0778631821675634,"SRR10802233","Health"
"o__Micrococcales",0.0764796310530361,"SRR10802233","Health"
"o__Veillonellales-Selenomonadales",0.0755364806866953,"SRR10802224","Health"
"o__Burkholderiales",0.0754154239454623,"SRR10802226","Health"
"o__Lachnospirales",0.0750518313752592,"SRR10802239","GERD"
"o__Lachnospirales",0.0735588009223674,"SRR10802233","Health"
"o__Burkholderiales",0.0712778782399036,"SRR10802245","Health"
"o__Fusobacteriales",0.0711503894547633,"SRR10802238","GERD"
"o__Lachnospirales",0.0680724596660062,"SRR10802242","Health"
"o__Lactobacillales",0.0674040338321405,"SRR10802230","GERD"
"o__Actinomycetales",0.066806470940683,"SRR10802238","GERD"
"o__Fusobacteriales",0.0653021442495127,"SRR10802234","GERD"
"o__Fusobacteriales",0.0647635279079676,"SRR10802226","Health"
"o__Veillonellales-Selenomonadales",0.0647194465795542,"SRR10802233","Health"
"o__Saccharimonadales",0.0645473393227367,"SRR10802239","GERD"
"o__Lachnospirales",0.0638089005235602,"SRR10802237","GERD"
"o__Lachnospirales",0.0631578947368421,"SRR10802220","Health"
"o__Burkholderiales",0.0631208349050673,"SRR10802241","GERD"
"o__Fusobacteriales",0.062933025404157,"SRR10802221","Health"
"o__Micrococcales",0.0614909781576448,"SRR10802229","GERD"
"o__Fusobacteriales",0.0614862316107129,"SRR10802241","GERD"
"o__Fusobacteriales",0.0602273643473353,"SRR10802240","GERD"
"o__Saccharimonadales",0.0600111389585074,"SRR10802234","GERD"
"o__Veillonellales-Selenomonadales",0.0593731163351417,"SRR10802245","Health"
"o__Fusobacteriales",0.0592950932964755,"SRR10802239","GERD"
"o__Pasteurellales",0.0590986051761671,"SRR10802240","GERD"
"o__Micrococcales",0.0590557939914163,"SRR10802224","Health"
"o__Pasteurellales",0.0590115040477205,"SRR10802226","Health"
"o__Veillonellales-Selenomonadales",0.058732010890704,"SRR10802225","Health"
"o__Micrococcales",0.0581505071950932,"SRR10802223","Health"
"o__Saccharimonadales",0.0575194727381666,"SRR10802238","GERD"
"o__Veillonellales-Selenomonadales",0.0573509933774834,"SRR10802228","GERD"
"o__Fusobacteriales",0.0569620253164557,"SRR10802245","Health"
"o__Burkholderiales",0.0566798355236636,"SRR10802240","GERD"
"o__Pasteurellales",0.0563766891891892,"SRR10802232","GERD"
"o__Veillonellales-Selenomonadales",0.0556742640075973,"SRR10802229","GERD"
"o__Lachnospirales",0.055450643776824,"SRR10802224","Health"
"o__Peptostreptococcales-Tissierellales",0.0552631578947368,"SRR10802220","Health"
"o__Micrococcales",0.055122828040743,"SRR10802238","GERD"
"o__Fusobacteriales",0.0543684710351377,"SRR10802229","GERD"
"o__Pasteurellales",0.0543193717277487,"SRR10802237","GERD"
"o__Fusobacteriales",0.0542774982027318,"SRR10802236","GERD"
"o__Actinomycetales",0.0538847117794486,"SRR10802234","GERD"
"o__Lachnospirales",0.0535795506231238,"SRR10802227","GERD"
"o__Burkholderiales",0.0533435818601076,"SRR10802233","Health"
"o__Burkholderiales",0.0529947557272978,"SRR10802243","Health"
"o__Lachnospirales",0.0527093596059113,"SRR10802222","Health"
"o__Lachnospirales",0.0521207764198418,"SRR10802236","GERD"
"o__Fusobacteriales",0.0510825878387139,"SRR10802225","Health"
"o__Lachnospirales",0.0501750291715286,"SRR10802225","Health"
"o__Saccharimonadales",0.0492499292386074,"SRR10802242","Health"
"o__Saccharimonadales",0.0489123601156796,"SRR10802241","GERD"
"o__Burkholderiales",0.0488192830050165,"SRR10802231","GERD"
"o__Veillonellales-Selenomonadales",0.0487565445026178,"SRR10802237","GERD"
"o__Burkholderiales",0.0486772486772487,"SRR10802244","Health"
"o__Staphylococcales",0.0478886529841944,"SRR10802223","Health"
"o__Actinomycetales",0.0476020892687559,"SRR10802229","GERD"
"o__Veillonellales-Selenomonadales",0.0472286374133949,"SRR10802221","Health"
"o__Actinomycetales",0.0471879815100154,"SRR10802235","GERD"
"o__Saccharimonadales",0.0465911771644256,"SRR10802223","Health"
"o__Peptostreptococcales-Tissierellales",0.0465357967667437,"SRR10802221","Health"
"o__Actinomycetales",0.0458880442294402,"SRR10802239","GERD"
"o__Actinomycetales",0.0456652360515021,"SRR10802224","Health"
"o__Fusobacteriales",0.0453218884120172,"SRR10802224","Health"
"o__Veillonellales-Selenomonadales",0.0453015555353407,"SRR10802227","GERD"
"o__Saccharimonadales",0.0451559934318555,"SRR10802222","Health"
"o__Lachnospirales",0.0450868783702816,"SRR10802238","GERD"
"o__Peptostreptococcales-Tissierellales",0.0450422751729439,"SRR10802233","Health"
"o__Pasteurellales",0.0447823082239115,"SRR10802239","GERD"
"o__Saccharimonadales",0.0446882217090069,"SRR10802221","Health"
"o__Pasteurellales",0.044340723453909,"SRR10802225","Health"
"o__Saccharimonadales",0.0442384105960265,"SRR10802228","GERD"
"o__Actinomycetales",0.043841059602649,"SRR10802228","GERD"
"o__Pasteurellales",0.0437355880092237,"SRR10802233","Health"
"o__Lachnospirales",0.0434357029242628,"SRR10802231","GERD"
"o__Pasteurellales",0.0433862433862434,"SRR10802244","Health"
"o__Peptostreptococcales-Tissierellales",0.0430911680911681,"SRR10802229","GERD"
"o__Micrococcales",0.043027381060675,"SRR10802227","GERD"
"o__Actinomycetales",0.042579224275052,"SRR10802231","GERD"
"o__Veillonellales-Selenomonadales",0.0425062103229368,"SRR10802243","Health"
"o__Saccharimonadales",0.0418450997185856,"SRR10802231","GERD"
"o__Pasteurellales",0.0418161744410709,"SRR10802243","Health"
"o__Lachnospirales",0.0414569536423841,"SRR10802228","GERD"
"o__Saccharimonadales",0.0412303664921466,"SRR10802237","GERD"
"o__Pasteurellales",0.0409271523178808,"SRR10802228","GERD"
"o__Actinomycetales",0.0406935598018401,"SRR10802223","Health"
"o__Burkholderiales",0.0405759162303665,"SRR10802237","GERD"
"o__Flavobacteriales",0.0401037980655815,"SRR10802223","Health"
"o__Saccharimonadales",0.039300263599329,"SRR10802236","GERD"
"o__Saccharimonadales",0.0392067679432366,"SRR10802227","GERD"
"o__Actinomycetales",0.0390602887064817,"SRR10802242","Health"
