"OTU","Abundance","Sample","Group"
"p__Firmicutes",0.556499174333569,"SRR10802223","Health"
"p__Firmicutes",0.521379044684129,"SRR10802235","GERD"
"p__Firmicutes",0.511882308562806,"SRR10802241","GERD"
"p__Firmicutes",0.50714090785045,"SRR10802227","GERD"
"p__Firmicutes",0.490506329113924,"SRR10802245","Health"
"p__Firmicutes",0.488913972426026,"SRR10802240","GERD"
"p__Firmicutes",0.479579929988331,"SRR10802225","Health"
"p__Firmicutes",0.465751072961373,"SRR10802224","Health"
"p__Firmicutes",0.458940397350993,"SRR10802228","GERD"
"p__Firmicutes",0.446079818850835,"SRR10802242","Health"
"p__Firmicutes",0.44173712528824,"SRR10802233","Health"
"p__Firmicutes",0.439696106362773,"SRR10802229","GERD"
"p__Firmicutes",0.436256889527918,"SRR10802236","GERD"
"p__Firmicutes",0.433425649765658,"SRR10802226","Health"
"p__Firmicutes",0.414789219073946,"SRR10802239","GERD"
"p__Bacteroidota",0.413673071567808,"SRR10802234","GERD"
"p__Firmicutes",0.412586605080831,"SRR10802221","Health"
"p__Firmicutes",0.408363234888214,"SRR10802243","Health"
"p__Firmicutes",0.40625,"SRR10802232","GERD"
"p__Firmicutes",0.39064039408867,"SRR10802222","Health"
"p__Firmicutes",0.388421052631579,"SRR10802220","Health"
"p__Firmicutes",0.385307591623037,"SRR10802237","GERD"
"p__Bacteroidota",0.374955908289242,"SRR10802244","Health"
"p__Firmicutes",0.371629718394248,"SRR10802238","GERD"
"p__Bacteroidota",0.366315789473684,"SRR10802220","Health"
"p__Firmicutes",0.356668835393624,"SRR10802230","GERD"
"p__Bacteroidota",0.334811165845649,"SRR10802222","Health"
"p__Firmicutes",0.324282929546087,"SRR10802234","GERD"
"p__Firmicutes",0.316519694297472,"SRR10802244","Health"
"p__Bacteroidota",0.304489264801561,"SRR10802230","GERD"
"p__Bacteroidota",0.302113010446344,"SRR10802229","GERD"
"p__Firmicutes",0.295118071699498,"SRR10802231","GERD"
"p__Bacteroidota",0.294688221709007,"SRR10802221","Health"
"p__Bacteroidota",0.29388855602157,"SRR10802238","GERD"
"p__Bacteroidota",0.291080386638933,"SRR10802231","GERD"
"p__Bacteroidota",0.276736259054112,"SRR10802226","Health"
"p__Bacteroidota",0.276572218382861,"SRR10802239","GERD"
"p__Bacteroidota",0.273953066251783,"SRR10802225","Health"
"p__Bacteroidota",0.267043886282087,"SRR10802243","Health"
"p__Bacteroidota",0.262524766487404,"SRR10802242","Health"
"p__Bacteroidota",0.24953642384106,"SRR10802228","GERD"
"p__Bacteroidota",0.244635193133047,"SRR10802224","Health"
"p__Bacteroidota",0.241312585664759,"SRR10802240","GERD"
"p__Bacteroidota",0.226276178010471,"SRR10802237","GERD"
"p__Bacteroidota",0.215641952983725,"SRR10802245","Health"
"p__Bacteroidota",0.213020030816641,"SRR10802235","GERD"
"p__Proteobacteria",0.210999281092739,"SRR10802236","GERD"
"p__Bacteroidota",0.210861457291003,"SRR10802227","GERD"
"p__Bacteroidota",0.202069256756757,"SRR10802232","GERD"
"p__Bacteroidota",0.19238023387401,"SRR10802241","GERD"
"p__Bacteroidota",0.189546502690238,"SRR10802233","Health"
"p__Actinobacteriota",0.172086148648649,"SRR10802232","GERD"
"p__Bacteroidota",0.169615475347959,"SRR10802223","Health"
"p__Actinobacteriota",0.158328340323547,"SRR10802238","GERD"
"p__Bacteroidota",0.138629283489097,"SRR10802236","GERD"
"p__Proteobacteria",0.135172560715807,"SRR10802226","Health"
"p__Actinobacteriota",0.134763948497854,"SRR10802224","Health"
"p__Actinobacteriota",0.130935422602089,"SRR10802229","GERD"
"p__Actinobacteriota",0.128952504879636,"SRR10802230","GERD"
"p__Actinobacteriota",0.128747117601845,"SRR10802233","Health"
"p__Fusobacteriota",0.12434554973822,"SRR10802237","GERD"
"p__Actinobacteriota",0.119249823071479,"SRR10802223","Health"
"p__Fusobacteriota",0.11888341543514,"SRR10802222","Health"
"p__Fusobacteriota",0.117111255692908,"SRR10802230","GERD"
"p__Fusobacteriota",0.116848158570904,"SRR10802231","GERD"
"p__Proteobacteria",0.115778440699831,"SRR10802240","GERD"
"p__Fusobacteriota",0.112286890064668,"SRR10802244","Health"
"p__Actinobacteriota",0.110241037562706,"SRR10802231","GERD"
"p__Proteobacteria",0.108531898539585,"SRR10802233","Health"
"p__Proteobacteria",0.107745629897529,"SRR10802245","Health"
"p__Actinobacteriota",0.106158464477395,"SRR10802227","GERD"
"p__Fusobacteriota",0.102604019247099,"SRR10802242","Health"
"p__Proteobacteria",0.101471142964919,"SRR10802241","GERD"
"p__Fusobacteriota",0.0983991167540712,"SRR10802243","Health"
"p__Actinobacteriota",0.0973676761958675,"SRR10802242","Health"
"p__Proteobacteria",0.0959149875793541,"SRR10802243","Health"
"p__Proteobacteria",0.0948952879581152,"SRR10802237","GERD"
"p__Fusobacteriota",0.0941508232511598,"SRR10802227","GERD"
"p__Proteobacteria",0.0934785268567234,"SRR10802231","GERD"
"p__Proteobacteria",0.0931216931216931,"SRR10802244","Health"
"p__Actinobacteriota",0.092602815346398,"SRR10802243","Health"
"p__Fusobacteriota",0.0922573189522342,"SRR10802235","GERD"
"p__Actinobacteriota",0.0903002309468822,"SRR10802221","Health"
"p__Actinobacteriota",0.0891116680590365,"SRR10802234","GERD"
"p__Actinobacteriota",0.0890052356020942,"SRR10802237","GERD"
"p__Actinobacteriota",0.0876348228043143,"SRR10802235","GERD"
"p__Fusobacteriota",0.0867105263157895,"SRR10802220","Health"
"p__Patescibacteria",0.0846706081081081,"SRR10802232","GERD"
"p__Patescibacteria",0.0834830684174153,"SRR10802239","GERD"
"p__Actinobacteriota",0.082930200414651,"SRR10802239","GERD"
"p__Fusobacteriota",0.0829139072847682,"SRR10802228","GERD"
"p__Actinobacteriota",0.0823841059602649,"SRR10802228","GERD"
"p__Actinobacteriota",0.0809968847352025,"SRR10802236","GERD"
"p__Fusobacteriota",0.0785472972972973,"SRR10802232","GERD"
"p__Fusobacteriota",0.0778631821675634,"SRR10802233","Health"
"p__Proteobacteria",0.0767729342875732,"SRR10802230","GERD"
"p__Proteobacteria",0.0751977181382082,"SRR10802225","Health"
"p__Actinobacteriota",0.0724254998113919,"SRR10802241","GERD"
"p__Fusobacteriota",0.0711503894547633,"SRR10802238","GERD"
"p__Proteobacteria",0.0707671043538355,"SRR10802239","GERD"
"p__Actinobacteriota",0.0675105485232067,"SRR10802245","Health"
"p__Actinobacteriota",0.0665110851808635,"SRR10802225","Health"
"p__Actinobacteriota",0.0659210526315789,"SRR10802220","Health"
"p__Fusobacteriota",0.0653021442495127,"SRR10802234","GERD"
"p__Proteobacteria",0.0648960739030023,"SRR10802221","Health"
"p__Fusobacteriota",0.0647635279079676,"SRR10802226","Health"
"p__Proteobacteria",0.0631741140215717,"SRR10802235","GERD"
"p__Patescibacteria",0.0629908376963351,"SRR10802237","GERD"
"p__Fusobacteriota",0.062933025404157,"SRR10802221","Health"
