run_accession	fastq_aspera
SRR10802220	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/020/SRR10802220/SRR10802220_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/020/SRR10802220/SRR10802220_2.fastq.gz
SRR10802221	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/021/SRR10802221/SRR10802221_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/021/SRR10802221/SRR10802221_2.fastq.gz
SRR10802222	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/022/SRR10802222/SRR10802222_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/022/SRR10802222/SRR10802222_2.fastq.gz
SRR10802223	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/023/SRR10802223/SRR10802223_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/023/SRR10802223/SRR10802223_2.fastq.gz
SRR10802225	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/025/SRR10802225/SRR10802225_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/025/SRR10802225/SRR10802225_2.fastq.gz
SRR10802228	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/028/SRR10802228/SRR10802228_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/028/SRR10802228/SRR10802228_2.fastq.gz
SRR10802229	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/029/SRR10802229/SRR10802229_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/029/SRR10802229/SRR10802229_2.fastq.gz
SRR10802230	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/030/SRR10802230/SRR10802230_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/030/SRR10802230/SRR10802230_2.fastq.gz
SRR10802235	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/035/SRR10802235/SRR10802235_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/035/SRR10802235/SRR10802235_2.fastq.gz
SRR10802236	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/036/SRR10802236/SRR10802236_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/036/SRR10802236/SRR10802236_2.fastq.gz
SRR10802244	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/044/SRR10802244/SRR10802244_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/044/SRR10802244/SRR10802244_2.fastq.gz
SRR10802227	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/027/SRR10802227/SRR10802227_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/027/SRR10802227/SRR10802227_2.fastq.gz
SRR10802233	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/033/SRR10802233/SRR10802233_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/033/SRR10802233/SRR10802233_2.fastq.gz
SRR10802234	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/034/SRR10802234/SRR10802234_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/034/SRR10802234/SRR10802234_2.fastq.gz
SRR10802238	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/038/SRR10802238/SRR10802238_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/038/SRR10802238/SRR10802238_2.fastq.gz
SRR10802239	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/039/SRR10802239/SRR10802239_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/039/SRR10802239/SRR10802239_2.fastq.gz
SRR10802240	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/040/SRR10802240/SRR10802240_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/040/SRR10802240/SRR10802240_2.fastq.gz
SRR10802241	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/041/SRR10802241/SRR10802241_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/041/SRR10802241/SRR10802241_2.fastq.gz
SRR10802242	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/042/SRR10802242/SRR10802242_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/042/SRR10802242/SRR10802242_2.fastq.gz
SRR10802245	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/045/SRR10802245/SRR10802245_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/045/SRR10802245/SRR10802245_2.fastq.gz
SRR10802224	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/024/SRR10802224/SRR10802224_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/024/SRR10802224/SRR10802224_2.fastq.gz
SRR10802226	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/026/SRR10802226/SRR10802226_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/026/SRR10802226/SRR10802226_2.fastq.gz
SRR10802231	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/031/SRR10802231/SRR10802231_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/031/SRR10802231/SRR10802231_2.fastq.gz
SRR10802232	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/032/SRR10802232/SRR10802232_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/032/SRR10802232/SRR10802232_2.fastq.gz
SRR10802237	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/037/SRR10802237/SRR10802237_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/037/SRR10802237/SRR10802237_2.fastq.gz
SRR10802243	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/043/SRR10802243/SRR10802243_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR108/043/SRR10802243/SRR10802243_2.fastq.gz
