Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR10802220,AMPLICON,502,31185746,PRJNA598080,SAMN13698109,Metagenome or environmental,20336927,KAZAN FEDERAL UNIVERSITY,2017,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX7476131,Russia,Europe,Russia:Kazan,Illumina HiSeq 2500,saliva (hc 10),55.8304 N 49.0661 E,hc10_1a,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,2020-06-01T00:00:00Z,2019-12-30T03:05:00Z,1,hc10,SRP239030
SRR10802221,AMPLICON,502,31370482,PRJNA598080,SAMN13698108,Metagenome or environmental,20552061,KAZAN FEDERAL UNIVERSITY,2017,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX7476130,Russia,Europe,Russia:Kazan,Illumina HiSeq 2500,saliva (hc 9),55.8304 N 49.0661 E,hc09_1a,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,2020-06-01T00:00:00Z,2019-12-30T03:05:00Z,1,hc09,SRP239030
SRR10802222,AMPLICON,502,27567832,PRJNA598080,SAMN13698107,Metagenome or environmental,17972062,KAZAN FEDERAL UNIVERSITY,2017,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX7476129,Russia,Europe,Russia:Kazan,Illumina HiSeq 2500,saliva (hc 8),55.8304 N 49.0661 E,hc08_1a,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,2020-06-01T00:00:00Z,2019-12-30T03:05:00Z,1,hc08,SRP239030
SRR10802223,AMPLICON,502,27206894,PRJNA598080,SAMN13698106,Metagenome or environmental,17761549,KAZAN FEDERAL UNIVERSITY,2017,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX7476128,Russia,Europe,Russia:Kazan,Illumina HiSeq 2500,saliva (hc 7),55.8304 N 49.0661 E,hc07_1a,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,2020-06-01T00:00:00Z,2019-12-30T03:05:00Z,1,hc07,SRP239030
SRR10802224,AMPLICON,502,27061314,PRJNA598080,SAMN13698105,Metagenome or environmental,17574876,KAZAN FEDERAL UNIVERSITY,2017,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX7476127,Russia,Europe,Russia:Kazan,Illumina HiSeq 2500,saliva (hc 6),55.8304 N 49.0661 E,hc06_1a,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,2020-06-01T00:00:00Z,2019-12-30T03:05:00Z,1,hc06,SRP239030
SRR10802225,AMPLICON,502,27286712,PRJNA598080,SAMN13698104,Metagenome or environmental,17706987,KAZAN FEDERAL UNIVERSITY,2017,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX7476126,Russia,Europe,Russia:Kazan,Illumina HiSeq 2500,saliva (hc 5),55.8304 N 49.0661 E,hc05_1a,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,2020-06-01T00:00:00Z,2019-12-30T03:05:00Z,1,hc05,SRP239030
SRR10802226,AMPLICON,502,32838330,PRJNA598080,SAMN13698103,Metagenome or environmental,21358254,KAZAN FEDERAL UNIVERSITY,2017,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7476125,Russia,Europe,Russia:Kazan,Illumina HiSeq 2500,saliva (hc 4),55.8304 N 49.0661 E,hc04_1a,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,2020-06-01T00:00:00Z,2019-12-30T03:05:00Z,1,hc04,SRP239030
SRR10802227,AMPLICON,502,33880482,PRJNA598080,SAMN13698125,Metagenome or environmental,21914450,KAZAN FEDERAL UNIVERSITY,2017,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX7476124,Russia,Europe,Russia:Kazan,Illumina HiSeq 2500,saliva (rd 14),55.8304 N 49.0661 E,rd14_1a,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,2020-06-01T00:00:00Z,2019-12-30T03:05:00Z,1,rd14,SRP239030
SRR10802228,AMPLICON,502,28631068,PRJNA598080,SAMN13698124,Metagenome or environmental,18578352,KAZAN FEDERAL UNIVERSITY,2017,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX7476123,Russia,Europe,Russia:Kazan,Illumina HiSeq 2500,saliva (rd 13),55.8304 N 49.0661 E,rd13_1a,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,2020-06-01T00:00:00Z,2019-12-30T03:05:00Z,1,rd13,SRP239030
SRR10802229,AMPLICON,502,29346418,PRJNA598080,SAMN13698123,Metagenome or environmental,19052407,KAZAN FEDERAL UNIVERSITY,2017,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX7476122,Russia,Europe,Russia:Kazan,Illumina HiSeq 2500,saliva (rd 12),55.8304 N 49.0661 E,rd12_1a,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,2020-06-01T00:00:00Z,2019-12-30T03:05:00Z,1,rd12,SRP239030
